Region,RCM,Measured Recharge,RCM Recharge
Cedar River Basin,CRCM_ccsm,1,13.2
Cedar River Basin,CRCM_ccsm,1.5,13.3
Cedar River Basin,CRCM_ccsm,2,13.3
Cedar River Basin,CRCM_ccsm,2.6,13.3
Cedar River Basin,CRCM_ccsm,3.1,13.3
Cedar River Basin,CRCM_ccsm,3.6,13.4
Cedar River Basin,CRCM_ccsm,4.1,13.4
Cedar River Basin,CRCM_ccsm,4.7,13.4
Cedar River Basin,CRCM_ccsm,5.1,13.4
Cedar River Basin,CRCM_ccsm,5.6,13.4
Cedar River Basin,CRCM_ccsm,6.2,13.5
Cedar River Basin,CRCM_ccsm,6.7,13.5
Cedar River Basin,CRCM_ccsm,7.3,13.5
Cedar River Basin,CRCM_ccsm,7.9,14.2
Cedar River Basin,CRCM_ccsm,8.5,14.2
Cedar River Basin,CRCM_ccsm,9.2,14.2
Cedar River Basin,CRCM_ccsm,9.8,14.2
Cedar River Basin,CRCM_ccsm,10.6,14.2
Cedar River Basin,CRCM_ccsm,11.3,14.3
Cedar River Basin,CRCM_ccsm,12,14.3
Cedar River Basin,CRCM_ccsm,12.8,14.3
Cedar River Basin,CRCM_ccsm,13.5,14.3
Cedar River Basin,CRCM_ccsm,14.2,14.3
Cedar River Basin,CRCM_ccsm,14.9,14.7
Cedar River Basin,CRCM_ccsm,15.7,14.7
Cedar River Basin,CRCM_ccsm,16.3,14.8
Cedar River Basin,CRCM_ccsm,16.9,14.9
Cedar River Basin,CRCM_ccsm,17.6,14.9
Cedar River Basin,CRCM_ccsm,18.3,15
Cedar River Basin,CRCM_ccsm,19,15.1
Cedar River Basin,CRCM_ccsm,19.7,15.1
Cedar River Basin,CRCM_ccsm,20.4,15.2
Cedar River Basin,CRCM_ccsm,21.2,15.3
Cedar River Basin,CRCM_ccsm,22,15.6
Cedar River Basin,CRCM_ccsm,22.8,16
Cedar River Basin,CRCM_ccsm,23.6,16.5
Cedar River Basin,CRCM_ccsm,24.6,17
Cedar River Basin,CRCM_ccsm,25.6,17.9
Cedar River Basin,CRCM_ccsm,26.9,18.8
Cedar River Basin,CRCM_ccsm,28,19.7
Cedar River Basin,CRCM_ccsm,29.6,20.6
Cedar River Basin,CRCM_ccsm,31,21.5
Cedar River Basin,CRCM_ccsm,35.2,22.3
Cedar River Basin,CRCM_ccsm,37,23
Cedar River Basin,CRCM_ccsm,40,23.2
Cedar River Basin,CRCM_ccsm,45,25.3
Cedar River Basin,CRCM_ccsm,50,28.2
Cedar River Basin,CRCM_ccsm,53,30
Cedar River Basin,CRCM_ccsm,67,47
Cedar River Basin,CRCM_ccsm,88,99.7
Cedar River Basin,CRCM_cgcm3,1,5.6
Cedar River Basin,CRCM_cgcm3,1.5,5.7
Cedar River Basin,CRCM_cgcm3,2,5.9
Cedar River Basin,CRCM_cgcm3,2.6,6.3
Cedar River Basin,CRCM_cgcm3,3.1,6.7
Cedar River Basin,CRCM_cgcm3,3.6,7.1
Cedar River Basin,CRCM_cgcm3,4.1,7.6
Cedar River Basin,CRCM_cgcm3,4.7,8
Cedar River Basin,CRCM_cgcm3,5.1,8.4
Cedar River Basin,CRCM_cgcm3,5.6,8.8
Cedar River Basin,CRCM_cgcm3,6.2,9.3
Cedar River Basin,CRCM_cgcm3,6.7,9.7
Cedar River Basin,CRCM_cgcm3,7.3,10.1
Cedar River Basin,CRCM_cgcm3,7.9,10.5
Cedar River Basin,CRCM_cgcm3,8.5,10.9
Cedar River Basin,CRCM_cgcm3,9.2,11.3
Cedar River Basin,CRCM_cgcm3,9.8,11.7
Cedar River Basin,CRCM_cgcm3,10.6,12.4
Cedar River Basin,CRCM_cgcm3,11.3,12.9
Cedar River Basin,CRCM_cgcm3,12,13.2
Cedar River Basin,CRCM_cgcm3,12.8,13.7
Cedar River Basin,CRCM_cgcm3,13.5,14.1
Cedar River Basin,CRCM_cgcm3,14.2,14.5
Cedar River Basin,CRCM_cgcm3,14.9,14.9
Cedar River Basin,CRCM_cgcm3,15.7,15.4
Cedar River Basin,CRCM_cgcm3,16.3,16
Cedar River Basin,CRCM_cgcm3,16.9,16.4
Cedar River Basin,CRCM_cgcm3,17.6,16.8
Cedar River Basin,CRCM_cgcm3,18.3,17.3
Cedar River Basin,CRCM_cgcm3,19,19
Cedar River Basin,CRCM_cgcm3,19.7,20
Cedar River Basin,CRCM_cgcm3,20.4,20.5
Cedar River Basin,CRCM_cgcm3,21.2,21.2
Cedar River Basin,CRCM_cgcm3,22,22
Cedar River Basin,CRCM_cgcm3,22.8,22.8
Cedar River Basin,CRCM_cgcm3,23.6,23.6
Cedar River Basin,CRCM_cgcm3,24.6,24.5
Cedar River Basin,CRCM_cgcm3,25.6,25.5
Cedar River Basin,CRCM_cgcm3,26.9,26.8
Cedar River Basin,CRCM_cgcm3,28,27.8
Cedar River Basin,CRCM_cgcm3,29.6,29.4
Cedar River Basin,CRCM_cgcm3,31,30.5
